filename,theme,used_in,preferred_orientation,notes,source_url
hero_market.jpg,"Indian craft market festival atmosphere","experience.html","landscape 16:9","Main hero on Experience page. Avoid dark/creepy portraits.",""
main_stage.jpg,"Indian cultural stage performance","visit.html; stalls.html","landscape 16:9","Stage/event vibe, crowd or performance scene.",""
passport.jpg,"Travel passport with stamps","visit.html","landscape 3:2","Used in passport section. Clean and readable.",""
pottery.jpg,"Indian pottery artisan at work","index.html; about.html; stalls.html","landscape 4:3","Hands-on pottery/demo image preferred.",""
masala.jpg,"Indian spice market close-up","index.html; experience.html; stalls.html","landscape 4:3","Warm colors, spices clearly visible.",""
rangoli.jpg,"Rangoli art/festival floor design","index.html; experience.html; stalls.html","landscape 4:3","Colorful geometric rangoli.",""
chai.jpg,"Masala chai tea cup/stall","index.html; experience.html; stalls.html","landscape 4:3","Chai cup or chai-making scene.",""
bindi.jpg,"Indian beauty/culture detail (bindi)","index.html; stalls.html","portrait or landscape","Tasteful, respectful, non-costume image.",""
coffee.jpg,"South Indian filter coffee","index.html; stalls.html","landscape 4:3","Steel tumbler/dabara style preferred.",""
rugs.jpg,"Indian rugs/textile craftsmanship","index.html; stalls.html","landscape 4:3","Texture/pattern-rich frame.",""
saree.jpg,"Saree draping/fabric movement","index.html; about.html; experience.html; stalls.html","portrait or landscape","Authentic saree context.",""
jewellery.jpg,"Traditional Indian jewellery","index.html; about.html; stalls.html","landscape 4:3","Necklaces/bangles/earrings close-up.",""
block_print.jpg,"Block printing textile workshop","index.html; about.html; experience.html; stalls.html","landscape 4:3","Hand block + fabric process shot.",""
ayurveda.jpg,"Ayurveda herbs/oils/wellness","stalls.html","landscape 4:3","Natural herbs/oils setup.",""
bandana.jpg,"Textile pattern/fabric accessory","stalls.html","landscape 4:3","Use only if relevant to your stall copy.",""
calligraphy.jpg,"Indian calligraphy/hand lettering","stalls.html","landscape 4:3","Pen/ink/lettering process shot.",""
food_court.jpg,"Indian street food counter","stalls.html","landscape 4:3","Vibrant food market scene.",""
gilli.jpg,"Traditional Indian game (gilli danda)","stalls.html","landscape 4:3","Action shot preferred.",""
itra.jpg,"Attar/itra perfume bottles","stalls.html","landscape 4:3","Glass bottles, craft perfume vibe.",""
kolhapuri.jpg,"Kolhapuri chappal sandals","stalls.html","landscape 4:3","Footwear product shot.",""
movie.jpg,"Indian cinema/Bollywood experience","stalls.html","landscape 4:3","Cinema/theater or poster context.",""
papad.jpg,"Papad Indian snack prep/serving","stalls.html","landscape 4:3","Food close-up with good lighting.",""
